Date,Open,High,Low,Close,Adj Close,Volume
2024-10-09,27.0,27.700000762939453,25.719999313354492,26.1299991607666,26.1299991607666,9405300
2024-10-10,26.079999923706055,28.389999389648438,24.600000381469727,28.040000915527344,28.040000915527344,3222600
2024-10-11,27.3700008392334,28.959999084472656,27.139999389648438,28.420000076293945,28.420000076293945,971300
2024-10-14,28.639999389648438,29.0,27.549999237060547,28.860000610351562,28.860000610351562,1302400
2024-10-15,28.809999465942383,29.399999618530273,28.18000030517578,28.280000686645508,28.280000686645508,3306800
2024-10-16,28.049999237060547,28.655000686645508,27.700000762939453,28.350000381469727,28.350000381469727,960800
2024-10-17,28.510000228881836,28.649999618530273,27.959999084472656,28.270000457763672,28.270000457763672,239700
2024-10-18,28.0,28.530000686645508,28.0,28.350000381469727,28.350000381469727,304800
2024-10-21,28.100000381469727,28.549999237060547,27.8799991607666,28.09000015258789,28.09000015258789,431600
2024-10-22,28.09000015258789,28.420000076293945,27.739999771118164,28.309999465942383,28.309999465942383,339200
2024-10-23,27.780000686645508,29.208999633789062,27.6299991607666,29.040000915527344,29.040000915527344,275400
2024-10-24,29.3799991607666,29.3799991607666,28.139999389648438,28.459999084472656,28.459999084472656,177000
2024-10-25,28.299999237060547,29.110000610351562,28.030000686645508,28.360000610351562,28.360000610351562,163600
2024-10-28,28.700000762939453,28.700000762939453,27.979999542236328,28.09000015258789,28.09000015258789,229500
2024-10-29,28.110000610351562,28.700000762939453,28.110000610351562,28.389999389648438,28.389999389648438,310700
2024-10-30,28.59000015258789,29.610000610351562,28.315000534057617,29.40999984741211,29.40999984741211,157600
2024-10-31,28.399999618530273,29.889999389648438,28.399999618530273,29.15999984741211,29.15999984741211,262900
2024-11-01,28.989999771118164,29.079999923706055,28.31999969482422,28.31999969482422,28.31999969482422,271200
2024-11-04,28.739999771118164,29.479999542236328,28.299999237060547,28.56999969482422,28.56999969482422,278200
2024-11-05,28.540000915527344,29.079999923706055,26.56999969482422,26.979999542236328,26.979999542236328,696600
2024-11-06,27.549999237060547,28.329999923706055,26.93000030517578,27.809999465942383,27.809999465942383,511900
2024-11-07,27.829999923706055,28.829999923706055,27.329999923706055,28.399999618530273,28.399999618530273,158300
2024-11-08,28.190000534057617,28.40999984741211,27.649999618530273,27.850000381469727,27.850000381469727,172100
2024-11-11,27.649999618530273,27.790000915527344,26.299999237060547,27.280000686645508,27.280000686645508,271500
2024-11-12,27.459999084472656,27.924999237060547,27.222999572753906,27.469999313354492,27.469999313354492,192000
2024-11-13,27.399999618530273,27.549999237060547,25.6299991607666,25.6299991607666,25.6299991607666,258800
2024-11-14,25.469999313354492,26.31999969482422,24.530000686645508,24.530000686645508,24.530000686645508,289500
2024-11-15,24.200000762939453,24.46500015258789,23.31999969482422,23.360000610351562,23.360000610351562,399500
2024-11-18,23.350000381469727,23.860000610351562,23.34000015258789,23.5,23.5,255546
